地区,センター,燃える,資源物,金属類・粗大物,ガラス類,有害物
掛合上地区,飯南,月 木,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170424 20170522 20170619 20170724 20170821 20170925 20171023 20171120 20171225 20180122 20180219 20180319,20170410 20170508 20170605 20170710 20170807 20170911 20171010 20171106 20171211 20180109 20180205 20180305,月 木
掛合下地区,飯南,月 木,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170425 20170523 20170620 20170725 20170822 20170926 20171024 20171121 20171226 20180123 20180220 20180320,20170411 20170509 20170606 20170711 20170808 20170912 20171011 20171107 20171212 20180110 20180206 20180306,月 木
多根・松笠地区,飯南,月 木,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170426 20170524 20170621 20170726 20170823 20170927 20171025 20171122 20171227 20180124 20180221 20180322,20170412 20170510 20170607 20170712 20170809 20170913 20171012 20171108 20171213 20180111 20180207 20180307,月 木
入間・波多地区,飯南,月 木,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170427 20170525 20170622 20170727 20170824 20170928 20171026 20171124 20171228 20180125 20180222 20180323,20170413 20170511 20170608 20170713 20170810 20170914 20171013 20171109 20171214 20180112 20180208 20180308,月 木
吉田地区,飯南,月 木,20170412 20170510 20170614 20170712 20170809 20170913 20171011 20171108 20171213 20180117 20180214 20180314,20170420 20170518 20170615 20170720 20170817 20170921 20171019 20171116 20171221 20180118 20180215 20180315,20170406 20170501 20170601 20170706 20170803 20170907 20171005 20171101 20171207 20180104 20180201 20180301,月 木
田井地区,飯南,月 木,20170412 20170510 20170614 20170712 20170809 20170913 20171011 20171108 20171213 20180117 20180214 20180314,20170421 20170519 20170616 20170721 20170818 20170922 20171020 20171117 20171222 20180119 20180216 20180316,20170407 20170502 20170602 20170707 20170804 20170908 20171006 20171102 20171208 20180105 20180202 20180302,月 木
頓原連担地,飯南,火 金,20170419 20170517 20170621 20170719 20170816 20170920 20171018 20171115 20171220 20180124 20180221 20180321,20170424 20170529 20170626 20170724 20170828 20170925 20171023 20171127 20171225 20180129 20180226 20180326,20170410 20170515 20170612 20170710 20170816 20170911 20171010 20171113 20171211 20180115 20180213 20180312,火 金
八神連担地,飯南,火 金,20170419 20170517 20170621 20170719 20170816 20170920 20171018 20171115 20171220 20180124 20180221 20180321,20170426 20170531 20170628 20170726 20170830 20170927 20171025 20171129 20171227 20180131 20180228 20180328,20170412 20170517 20170614 20170712 20170818 20170913 20171012 20171115 20171213 20180117 20180215 20180314,火 金
頓原地域連担地以外,飯南,火 金,20170419 20170517 20170621 20170719 20170816 20170920 20171018 20171115 20171220 20180124 20180221 20180321,20170425 20170530 20170627 20170725 20170829 20170926 20171024 20171128 20171226 20180130 20180227 20180327,20170411 20170516 20170613 20170711 20170817 20170912 20171011 20171114 20171212 20180116 20180214 20180313,火 金
赤名連担地,飯南,火 金,20170426 20170524 20170628 20170726 20170823 20170927 20171025 20171122 20171227 20180131 20180228 20180328,20170417 20170522 20170619 20170718 20170821 20170919 20171016 20171120 20171218 20180122 20180219 20180319,20170403 20170508 20170605 20170703 20170807 20170904 20171002 20171106 20171204 20180109 20180205 20180305,火 金
来島連担地,飯南,火 金,20170426 20170524 20170628 20170726 20170823 20170927 20171025 20171122 20171227 20180131 20180228 20180328,20170419 20170524 20170621 20170720 20170823 20170921 20171018 20171122 20171220 20180124 20180221 20180322,20170405 20170510 20170607 20170705 20170809 20170906 20171004 20171108 20171206 20180111 20180207 20180307,火 金
赤来地域連担地以外,飯南,火 金,20170426 20170524 20170628 20170726 20170823 20170927 20171025 20171122 20171227 20180131 20180228 20180328,20170418 20170523 20170620 20170719 20170822 20170920 20171017 20171121 20171219 20180123 20180220 20180320,20170404 20170509 20170606 20170704 20170808 20170905 20171003 20171107 20171205 20180110 20180206 20180306,火 金
